"GNIperCap";"LifeExp";"ExpEdu";"MatMortalityRate";"AdoBirthRate";"FemalesParliament";"LabourRatio";"SecondEduRatio"
"Cambodia";2949;68.4;10.9;170;44.3;19;0.910982658959538;0.432314410480349
"Kenya";2762;61.6;11;400;93.6;20.8;0.859116022099447;0.805732484076433
"Nepal";2311;69.6;12.4;190;73.7;29.5;0.917336394948335;0.463350785340314
"Pakistan";4866;66.2;7.8;170;27.3;19.7;0.296743063932449;0.418655097613883
"Myanmar";4608;65.9;8.6;200;12.1;4.7;0.913730255164034;1.49673202614379
"Swaziland";5542;49;11.3;310;72;14.7;0.613128491620112;0.842307692307692
"Tanzania (United Republic of)";2411;65;9.2;410;122.7;36;0.976718403547672;0.589473684210526
"Cameroon";2803;55.5;10.4;590;115.8;27.1;0.830729166666667;0.610315186246418
"Zimbabwe";1615;57.5;10.9;470;60.3;35.1;0.927536231884058;0.785483870967742
"Mauritania";3560;63.1;8.5;320;73.3;22.2;0.36283185840708;0.397129186602871
"Papua New Guinea";2463;62.6;9.9;220;62.1;2.7;0.952702702702703;0.524137931034483
"Yemen";3519;63.8;9.2;270;47;0.7;0.35180055401662;0.322097378277154
"Lesotho";3306;49.8;11.1;490;89.4;26.8;0.802721088435374;1.15263157894737
"Togo";1228;59.7;12.2;450;91.5;17.6;0.991389913899139;0.399503722084367
"Haiti";1669;62.8;8.7;380;42;3.5;0.857746478873239;0.636363636363636
"Rwanda";1458;64.2;10.3;320;33.6;57.5;1.01289566236811;0.909090909090909
"Uganda";1613;58.5;9.8;360;126.6;35;0.957070707070707;0.683582089552239
"Benin";1767;59.6;11.1;340;90.2;8.4;0.863346104725415;0.418518518518519
"Sudan";3809;63.5;7;360;84;23.8;0.411842105263158;0.664835164835165
"Senegal";2188;66.5;7.9;320;94.4;42.7;0.75;0.467532467532468
"Afghanistan";1885;60.4;9.3;400;86.8;27.6;0.19874213836478;0.197986577181208
"Côte d'Ivoire";3171;51.5;8.9;720;130.3;9.2;0.643734643734644;0.465116279069767
"Malawi";747;62.8;10.8;510;144.8;16.7;1.03803680981595;0.513888888888889
"Ethiopia";1428;64.1;8.5;420;78.4;25.5;0.875699888017917;0.428571428571429
"Gambia";1507;60.2;8.8;430;115.8;9.4;0.870928829915561;0.552380952380952
"Congo (Democratic Republic of the)";680;58.7;9.8;730;135.3;8.2;0.965846994535519;0.395061728395062
"Liberia";805;60.9;9.5;640;117.4;10.7;0.898148148148148;0.391857506361323
"Mali";1583;58;8.4;550;175.6;9.5;0.624078624078624;0.509933774834437
"Mozambique";1123;55.1;9.3;480;137.8;39.6;1.03260869565217;0.225806451612903
"Sierra Leone";1780;50.9;8.6;1100;100.7;12.4;0.952173913043478;0.460829493087558
"Burkina Faso";1591;58.7;7.8;400;115.4;13.3;0.856666666666667;0.28125
"Burundi";758;56.7;10.1;740;30.3;34.9;1.01585365853659;0.63855421686747
"Chad";2085;51.6;7.4;980;152;14.9;0.808080808080808;0.171717171717172
"Central African Republic";581;50.7;7.2;880;98.3;12.5;0.853113983548766;0.378277153558052
"Niger";908;61.4;5.4;630;204.8;13.3;0.445930880713489;0.307692307692308
